from,fromType,to,toType
arturo rivera damas,1,arturo,2
arturo rivera damas,1,damas,2
arturo rivera damas,1,rivera,2
arturo rivera y damas,1,arturo,2
arturo rivera y damas,1,damas,2
arturo rivera y damas,1,rivera,2
arturo rivera y damas,1,y,2
asonal president antonio suarez,0,antonio suarez,1
aspilla cordoba,1,aspilla,2
aspilla cordoba,1,cordoba,2
atlantic hydroelectric plant director eduardo velar de la rosa,0,eduardo velar de la rosa,1
attorney carlos lorenzana,0,carlos lorenzana,1
attorney general alfonso gomez mendez,0,alfonso gomez mendez,1
attorney general alfredo gutierrez,0,alfredo gutierrez,1
attorney general carlos mauro hoyos,0,carlos mauro hoyos,1
attorney general carlos villalaz,0,carlos villalaz,1
attorney general dr mauricio ernesto colorado,0,mauricio ernesto colorado,1
attorney general enrique alvarez del castillo,0,enrique alvarez del castillo,1
attorney general forde,0,forde,1
attorney general garcia,0,garcia,1
attorney general garcia alvarado,0,garcia alvarado,1
attorney general gomez,0,gomez,1
attorney general mauricio colorado,0,mauricio colorado,1
attorney general of el salvador,0,salvador,1
attorney general roberto garcia,0,roberto garcia,1
attorney general roberto garcia alvarado,0,roberto garcia alvarado,1
attorney general roberto garcial alvarado,0,roberto garcial alvarado,1
augusto pinochet,1,augusto,2
augusto pinochet,1,pinochet,2
augusto pinochet ugarte,1,augusto,2
augusto pinochet ugarte,1,pinochet,2
augusto pinochet ugarte,1,ugarte,2
augusto rodrigues arango,1,arango,2
augusto rodrigues arango,1,augusto,2
augusto rodrigues arango,1,rodrigues,2
auxiliary bishop gregorio rosa chavez,0,gregorio rosa chavez,1
auxiliary bishop rosa chavez,0,rosa chavez,1
avc leader santiago dillman,0,santiago dillman,1
avc spokesman patricio leon,0,patricio leon,1
baena soares,1,baena,2
baena soares,1,soares,2
barco vargas,1,barco,2
barco vargas,1,vargas,2
bayardo arce,1,arce,2
bayardo arce,1,bayardo,2
belgian carl jean nellis,0,carl jean nellis,1
belisario betancur,1,belisario,2
belisario betancur,1,betancur,2
benjamin franklin,1,benjamin,2
benjamin franklin,1,franklin,2
bernard stroiazzo,1,bernard,2
bernard stroiazzo,1,stroiazzo,2
bernardett pardo,1,bernardett,2
bernardett pardo,1,pardo,2
bernardo jaramillo,1,bernardo,2
bernardo jaramillo,1,jaramillo,2
bernardo jaramillo ossa,1,bernardo,2
bernardo jaramillo ossa,1,jaramillo,2
bernardo jaramillo ossa,1,ossa,2
bernardo jaramillo uribe,1,bernardo,2
bernardo jaramillo uribe,1,jaramillo,2
bernardo jaramillo uribe,1,uribe,2
bertran sherr,1,bertran,2
bertran sherr,1,sherr,2
binyamin netanyahu,1,binyamin,2
binyamin netanyahu,1,netanyahu,2
bishop gregorio rosa chavez,0,gregorio rosa chavez,1
bishop jaramillo,0,jaramillo,1
bishop pablo smith,0,pablo smith,1
blanca rodriguez de perez,1,blanca,2
blanca rodriguez de perez,1,perez,2
blanca rodriguez de perez,1,rodriguez,2
bnd administrative director marcos blandon gravy,0,marcos blandon gravy,1
bodyguard jairo ortega,0,jairo ortega,1
bogota city mayor andres pastrana,0,andres pastrana,1
bogota mayor andres pastrana,0,andres pastrana,1
bogota mayor andres pastrana arango,0,andres pastrana arango,1
bolivian chief justice edgar oblitas,0,edgar oblitas,1
bolivian general joaquin zenteno anaya,0,joaquin zenteno anaya,1
bolivian president jaime paz zamora,0,jaime paz zamora,1
braspetro president wagner freire,0,wagner freire,1
brazilian businessman abilio diniz,0,abilio diniz,1
brazilian foreign minister roberto de abreu,0,roberto de abreu,1
brazilian president jose sarney,0,jose sarney,1
british engineer john marck jones,0,john marck jones,1
british negotiator crispin tickell,0,crispin tickell,1
british newsman david blundy,0,david blundy,1
briton huk kuet wong,0,kuet wong,1
bruce olson,1,bruce,2
bruce olson,1,olson,2
bruno siebert,1,bruno,2
bruno siebert,1,siebert,2
buenos aires police chief walter jurado,0,walter jurado,1
businessman abilio diniz,0,abilio diniz,1
businessman edgardo barros,0,edgardo barros,1
businessman fabio echeverri correa,0,fabio echeverri correa,1
businessman naim isaias,0,naim isaias,1
businessman sergio alarcon,0,sergio alarcon,1
cabinet chief carlos caceres,0,carlos caceres,1
cameraman manuel diaz,0,manuel diaz,1
camilo restrepo,1,camilo,2
camilo restrepo,1,restrepo,2
candidate senator luis carlos galan,0,luis carlos galan,1
captain adan solorzano martinez,0,adan solorzano martinez,1
captain alfonso chavez garcia,0,alfonso chavez garcia,1
captain alonso chavez garcia,0,alonso chavez garcia,1
captain alvaro saravia,0,alvaro saravia,1
captain eduardo alfonso avila,0,eduardo alfonso avila,1
captain gerardo barrios,0,gerardo barrios,1
captain jose alfonso chavez,0,jose alfonso chavez,1
captain jose alfonso chavez garcia,0,jose alfonso chavez garcia,1
captain jose urbulu simo,0,jose urbulu simo,1
captain lionel sisniega cordero,0,lionel sisniega cordero,1
captain narcisa castillero,0,narcisa castillero,1
captain robin romero,0,robin romero,1
captain velasquez,0,velasquez,1
captain walter moscoso cardenas,0,walter moscoso cardenas,1
cardinal alfonso lopez trujillo,0,alfonso lopez trujillo,1
cardinal landazuri,0,landazuri,1
cardinal lopez trujillo,0,lopez trujillo,1
cardinal mario revollo,0,mario revollo,1
cardinal mario revollo bravo,0,mario revollo bravo,1
cardinal mario revollo correa,0,mario revollo correa,1
carl jean nellis,1,carl,2
carl jean nellis,1,jean,2
carl jean nellis,1,nellis,2
carlos a. morales villatoro,1,a.,2
carlos a. morales villatoro,1,carlos,2
carlos a. morales villatoro,1,morales,2
carlos a. morales villatoro,1,villatoro,2
carlos alfredo rivas,1,alfredo,2
carlos alfredo rivas,1,carlos,2
carlos alfredo rivas,1,rivas,2
carlos andres perez,1,andres,2
carlos andres perez,1,carlos,2
carlos andres perez,1,perez,2
carlos arbin montoya,1,arbin,2
carlos arbin montoya,1,carlos,2
carlos arbin montoya,1,montoya,2
carlos arturo casadiego,1,arturo,2
carlos arturo casadiego,1,carlos,2
carlos arturo casadiego,1,casadiego,2
carlos arturo casadiego torrado,1,arturo,2
carlos arturo casadiego torrado,1,carlos,2
carlos arturo casadiego torrado,1,casadiego,2
carlos arturo casadiego torrado,1,torrado,2
carlos augusto morales,1,augusto,2
carlos augusto morales,1,carlos,2
carlos augusto morales,1,morales,2
carlos caceres,1,caceres,2
carlos caceres,1,carlos,2
carlos cardoen,1,cardoen,2
carlos cardoen,1,carlos,2
carlos carreno,1,carlos,2
carlos carreno,1,carreno,2
carlos casadiego,1,carlos,2
carlos casadiego,1,casadiego,2
carlos castaneda,1,carlos,2
carlos castaneda,1,castaneda,2
carlos ducci,1,carlos,2
carlos ducci,1,ducci,2
carlos elmos,1,carlos,2
carlos elmos,1,elmos,2
carlos eugenio vides casanova,1,carlos,2
carlos eugenio vides casanova,1,casanova,2
carlos eugenio vides casanova,1,eugenio,2
carlos eugenio vides casanova,1,vides,2
carlos farfan correa,1,carlos,2
carlos farfan correa,1,correa,2
carlos farfan correa,1,farfan,2
carlos figueroa,1,carlos,2
carlos figueroa,1,figueroa,2
carlos guerrero,1,carlos,2
carlos guerrero,1,guerrero,2
carlos guzman,1,carlos,2
carlos guzman,1,guzman,2
carlos humberto figueroa,1,carlos,2
carlos humberto figueroa,1,figueroa,2
carlos humberto figueroa,1,humberto,2
carlos humberto romero,1,carlos,2
carlos humberto romero,1,humberto,2
carlos humberto romero,1,romero,2
carlos jimenez gomez,1,carlos,2
carlos jimenez gomez,1,gomez,2
carlos jimenez gomez,1,jimenez,2
carlos lemos,1,carlos,2
carlos lemos,1,lemos,2
carlos lemos simmonds,1,carlos,2
carlos lemos simmonds,1,lemos,2
carlos lemos simmonds,1,simmonds,2
carlos lemus,1,carlos,2
carlos lemus,1,lemus,2
carlos lopez,1,carlos,2
carlos lopez,1,lopez,2
carlos lopez contreras,1,carlos,2
carlos lopez contreras,1,contreras,2
carlos lopez contreras,1,lopez,2
carlos lorenzana,1,carlos,2
carlos lorenzana,1,lorenzana,2
carlos manuel lopez mata,1,carlos,2
carlos manuel lopez mata,1,lopez,2
carlos manuel lopez mata,1,manuel,2
carlos manuel lopez mata,1,mata,2
carlos mauricio guzman aguilar,1,aguilar,2
carlos mauricio guzman aguilar,1,carlos,2
carlos mauricio guzman aguilar,1,guzman,2
carlos mauricio guzman aguilar,1,mauricio,2
carlos mauro hoyos,1,carlos,2
carlos mauro hoyos,1,hoyos,2
carlos mauro hoyos,1,mauro,2
carlos medrano vazquez,1,carlos,2
carlos medrano vazquez,1,medrano,2
carlos medrano vazquez,1,vazquez,2
carlos menem,1,carlos,2
carlos menem,1,menem,2
carlos meneses pizarro,1,carlos,2
carlos meneses pizarro,1,meneses,2
carlos meneses pizarro,1,pizarro,2
carlos morales,1,carlos,2
carlos morales,1,morales,2
carlos nunez,1,carlos,2
carlos nunez,1,nunez,2
carlos obando velasco,1,carlos,2
carlos obando velasco,1,obando,2
carlos obando velasco,1,velasco,2
carlos oldiney,1,carlos,2
carlos oldiney,1,oldiney,2
carlos parera,1,carlos,2
carlos parera,1,parera,2
carlos perez lopez,1,carlos,2
carlos perez lopez,1,lopez,2
carlos perez lopez,1,perez,2
carlos pizarro,1,carlos,2
carlos pizarro,1,pizarro,2
carlos pizarro leongomez,1,carlos,2
carlos pizarro leongomez,1,leongomez,2
carlos pizarro leongomez,1,pizarro,2
carlos prats,1,carlos,2
carlos prats,1,prats,2
carlos ricra papara,1,carlos,2
carlos ricra papara,1,papara,2
carlos ricra papara,1,ricra,2
carlos romero,1,carlos,2
carlos romero,1,romero,2
carlos ruig,1,carlos,2
carlos ruig,1,ruig,2
carlos salinas,1,carlos,2
carlos salinas,1,salinas,2
carlos salinas de gortari,1,carlos,2
carlos salinas de gortari,1,gortari,2
carlos salinas de gortari,1,salinas,2
carlos valencia,1,carlos,2
carlos valencia,1,valencia,2
carlos valencia garcia,1,carlos,2
carlos valencia garcia,1,garcia,2
carlos valencia garcia,1,valencia,2
carlos vides casanova,1,carlos,2
carlos vides casanova,1,casanova,2
carlos vides casanova,1,vides,2
carlos villalaz,1,carlos,2
carlos villalaz,1,villalaz,2
carlota de lopez,1,carlota,2
carlota de lopez,1,lopez,2
casadiego torrado,1,casadiego,2
casadiego torrado,1,torrado,2
casonova porras,1,casonova,2
casonova porras,1,porras,2
castro arenas,1,arenas,2
castro arenas,1,castro,2
catalina soberanis,1,catalina,2
catalina soberanis,1,soberanis,2
cattleman german sierra medina,0,german sierra medina,1
cattleman liberto gutierrez marquez,0,liberto gutierrez marquez,1
cattleman pedro pablo mejia,0,pedro pablo mejia,1
ccop coordinator juan almendares bonilla,0,juan almendares bonilla,1
cecilia magni,1,cecilia,2
cecilia magni,1,magni,2
"cecilia magni, alias ""commander tamara.""",0,cecilia magni,1
"cecilia magni, alias ""commander tamara.""",0,tamara,1
cecilio rivera,1,cecilio,2
cecilio rivera,1,rivera,2
celestino armas,1,armas,2
celestino armas,1,celestino,2
central america university rector ignacio ellacuria,0,ignacio ellacuria,1
central american university rector ignacio ellacuria,0,ignacio ellacuria,1
cerezo arevalo,1,arevalo,2
cerezo arevalo,1,cerezo,2
cesar delgado barreto,1,barreto,2
cesar delgado barreto,1,cesar,2
cesar delgado barreto,1,delgado,2
cesar gaviria trujillo,1,cesar,2
cesar gaviria trujillo,1,gaviria,2
cesar gaviria trujillo,1,trujillo,2
cesar martans,1,cesar,2
cesar martans,1,martans,2
cesar vasquez bazan,1,bazan,2
cesar vasquez bazan,1,cesar,2
cesar vasquez bazan,1,vasquez,2
cgt leader jose luis grande preza,0,jose luis grande preza,1
chavez caceres,1,caceres,2
chavez caceres,1,chavez,2
chile leader jaime inzunza,0,jaime inzunza,1
chile's manuel rodriguez,0,manuel rodriguez,1
chilean ambassador to brazil raul schmidt,0,raul,1
chilean businessman carlos cardoen,0,carlos cardoen,1
chilean foreign minister errazuriz,0,errazuriz,1
chilean foreign ministry spokesman carlos ducci,0,carlos ducci,1
chilean journalist rolando carrasco,0,rolando carrasco,1
chilean president augusto pinochet,0,augusto pinochet,1
chilean president patricio aylwin,0,patricio aylwin,1
christian democrat ideologue danilo barillas,0,danilo barillas,1
christian democrat jose napoleon duarte,0,jose napoleon duarte,1
christian democratic party deputy hector gatti,0,hector gatti,1
christian democratic party leader fidel chavez mena,0,fidel chavez mena,1
christian democratic president jose napoleon duarte,0,jose napoleon duarte,1
christian democratic president vinicio cerezo,0,vinicio cerezo,1
christian pichardo,1,christian,2
christian pichardo,1,pichardo,2
christopher dodd,1,christopher,2
christopher dodd,1,dodd,2
cipriano aparicio alvarez,1,alvarez,2
cipriano aparicio alvarez,1,aparicio,2
cipriano aparicio alvarez,1,cipriano,2
ciro lopez,1,ciro,2
ciro lopez,1,lopez,2
ciro lopez roque,1,ciro,2
ciro lopez roque,1,lopez,2
ciro lopez roque,1,roque,2
citizen justiniano sagastume rodriguez,0,justiniano sagastume rodriguez,1
civilian jose javier rivera,0,jose javier rivera,1
claudia arenas,1,arenas,2
claudia arenas,1,claudia,2
claudio rabindranath armijo,1,armijo,2
claudio rabindranath armijo,1,claudio,2
claudio rabindranath armijo,1,rabindranath,2
clemente baena soares,1,baena,2
clemente baena soares,1,clemente,2
clemente baena soares,1,soares,2
codeh president ramon custodio,0,ramon custodio,1
col arevalo,0,arevalo,1
col benavides,0,benavides,1
col carreno,0,carreno,1
col ciro lopez roque,0,ciro lopez roque,1
col elena,0,elena,1
col elena fuentes,0,elena fuentes,1
col emilio ponce,0,emilio ponce,1
col ferrero,0,ferrero,1
col figueroa,0,figueroa,1
col franklin quintero,0,franklin quintero,1
col golcher,0,golcher,1
col guillermo alfredo benavides,0,guillermo alfredo benavides,1
col guillermo benavides,0,guillermo benavides,1
col guzman,0,guzman,1
col heriberto hernandez,0,heriberto hernandez,1
col hernandez,0,hernandez,1
col isaac,0,isaac,1
col isaacs,0,isaacs,1
col jorge ernesto ferrero echeverri,0,jorge ernesto ferrero echeverri,1
col leiva,0,leiva,1
col mauricio vargas,0,mauricio vargas,1
col montano,0,montano,1
col ochoa,0,ochoa,1
col orlando cepeda,0,orlando cepeda,1
col ponce,0,ponce,1
col quintero,0,quintero,1
col rene emilio ponce,0,rene emilio ponce,1
col ricardo alfonso casanova,0,ricardo alfonso casanova,1
col rivera,0,rivera,1
col suarez,0,suarez,1
col vargas,0,vargas,1
col velasco,0,velasco,1
col zepeda,0,zepeda,1
col. benavides,0,benavides,1
col. ochoa,0,ochoa,1
col. ochoa perez,0,ochoa perez,1
col. ponce,0,ponce,1
col. rene emilio ponce,0,rene emilio ponce,1
col. sigifredo ochoa perez,0,sigifredo ochoa perez,1
col.ochoa perez,0,perez,1
colombia's president virgilio barco,0,virgilio barco,1
colombian ambassador leopoldo villar,0,leopoldo villar,1
"colombian citizen jorge humberto chalaria, known as ""el negro,""",0,el negro,1
"colombian citizen jorge humberto chalaria, known as ""el negro,""",0,jorge humberto chalaria,1
colombian communist party president gilberto vieira,0,gilberto vieira,1
colombian drug leader guillermo leon velasquez,0,guillermo leon velasquez,1
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0,el mexicano,1
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0,gonzalo rodriguez gacha,1
colombian drug trafficker rodriguez gacha,0,rodriguez gacha,1
colombian foreign minister julio londono paredes,0,julio londono paredes,1
colombian government minister carlos lemos,0,carlos lemos,1
colombian government minister carlos lemos simmonds,0,carlos lemos simmonds,1
colombian judge bernardo jaramillo uribe,0,bernardo jaramillo uribe,1
colombian justice carlos valencia,0,carlos valencia,1
colombian justice minister monica de greiff,0,monica de greiff,1
colombian leader virgilio barco,0,virgilio barco,1
colombian liberal party candidate luis carlos galan,0,luis carlos galan,1
colombian pilot julio torres,0,julio torres,1
colombian political leader luis carlos galan,0,luis carlos galan,1
colombian president virgilio barco,0,virgilio barco,1
colombian president virgilio barco vargas,0,virgilio barco vargas,1
colombian priest camilo restrepo,0,camilo restrepo,1
colombian rodolfo antonio montoya,0,rodolfo antonio montoya,1
colonal orlando montano,0,orlando montano,1
colonel adolfo,0,adolfo,1
colonel alberto andino benitez,0,alberto andino benitez,1
colonel alejandro sanchez,0,alejandro sanchez,1
colonel armando santagorda,0,armando santagorda,1
colonel benavides,0,benavides,1
colonel carlos alfredo rivas,0,carlos alfredo rivas,1
colonel carlos carreno,0,carlos carreno,1
colonel carlos guerrero,0,carlos guerrero,1
colonel carranza,0,carranza,1
colonel carreno,0,carreno,1
colonel eduardo arevalo,0,eduardo arevalo,1
colonel efrain gonzalez,0,efrain gonzalez,1
colonel elena fuente,0,elena fuente,1
colonel elena fuentes,0,elena fuentes,1
colonel eric sanchez,0,eric sanchez,1
colonel erick o'connor,0,erick o'connor,1
colonel espinoza,0,espinoza,1
colonel francisco,0,francisco,1
colonel francisco arturo lopez,0,francisco arturo lopez,1
colonel francisco elena fuentes,0,francisco elena fuentes,1
colonel franklyn quintero,0,franklyn quintero,1
colonel guillermo alfredo benavides moreno,0,guillermo alfredo benavides moreno,1
colonel guillermo benavides,0,guillermo benavides,1
colonel hector heriberto hernandez,0,hector heriberto hernandez,1
colonel hegejam seter,0,hegejam seter,1
colonel heriberto hernandez,0,heriberto hernandez,1
colonel hugo moran carranza,0,hugo moran carranza,1
colonel juan carlos carrillo schlenker,0,juan carlos carrillo schlenker,1
colonel lopez huila,0,lopez huila,1
colonel luis arce gomez,0,luis arce gomez,1
colonel luis fernando guzman vasquez of army headquarters,0,luis fernando guzman vasquez,1
colonel manuel enrique suarez,0,manuel enrique suarez,1
colonel manuel enrique suarez benavides,0,manuel enrique suarez benavides,1
colonel mario velasco,0,mario velasco,1
colonel mauricio ernesto vargas,0,mauricio ernesto vargas,1
colonel mauricio guzman aguilar,0,mauricio guzman aguilar,1
colonel mauricio vargas,0,mauricio vargas,1
colonel ochoa perez,0,ochoa perez,1
colonel orlando inocente montano,0,orlando inocente montano,1
colonel orlando montano,0,orlando montano,1
colonel orlando zepeda,0,orlando zepeda,1
colonel oscar edgardo casanova,0,oscar edgardo casanova,1
colonel otalora,0,otalora,1
colonel pelaez,0,pelaez,1
colonel ponce,0,ponce,1
