n1,n2,score
antioquia police chief colonel waldemar franklin quintero,antioquia police department chief waldemar franklin quintero,1.00
antioquia police chief colonel waldemar franklin quintero,col franklin quintero,0.13
antioquia police chief colonel waldemar franklin quintero,colonel franklyn quintero,0.05
antioquia police chief colonel waldemar franklin quintero,colonel valdemar franklin quintero,0.13
antioquia police chief colonel waldemar franklin quintero,colonel waldemar franklin quintero,1.00
antioquia police department chief waldemar franklin quintero,antioquia police chief colonel waldemar franklin quintero,1.00
antioquia police department chief waldemar franklin quintero,col franklin quintero,0.13
antioquia police department chief waldemar franklin quintero,colonel franklyn quintero,0.05
antioquia police department chief waldemar franklin quintero,colonel valdemar franklin quintero,0.13
antioquia police department chief waldemar franklin quintero,colonel waldemar franklin quintero,1.00
arboledas mayor pedro jesus hernandez,ambassador jesus fernandez,0.08
arboledas mayor pedro jesus hernandez,costa rican ambassador jesus fernandez,0.08
arboledas mayor pedro jesus hernandez,mayor pedro jesus hernandez,1.00
archbishop arturo rivera,archbishop arturo rivera y damas,1.00
archbishop arturo rivera,monsignor arturo rivera y damas,1.00
archbishop arturo rivera,msgr arturo rivera y damas,1.00
archbishop arturo rivera,salvadoran archbishop arturo rivera damas,1.00
archbishop arturo rivera y damas,archbishop arturo rivera,0.08
archbishop arturo rivera y damas,archbishop rivera y damas,0.31
archbishop arturo rivera y damas,monsignor arturo rivera y damas,1.00
archbishop arturo rivera y damas,monsignor rivera y damas,0.31
archbishop arturo rivera y damas,msgr arturo rivera y damas,1.00
archbishop arturo rivera y damas,msgr rivera y damas,0.31
archbishop arturo rivera y damas,salvadoran archbishop arturo rivera damas,0.21
archbishop oscar arnulfo romero,monsignor arnulfo romero,0.20
archbishop oscar arnulfo romero,monsignor oscar arnulfo romero,1.00
archbishop oscar arnulfo romero,msgr arnulfo romero,0.20
archbishop oscar arnulfo romero,msgr oscar arnulfo romero,1.00
archbishop oscar arnulfo romero,salvadoran archbishop oscar arnulfo romero,1.00
archbishop rivera y damas,archbishop arturo rivera y damas,0.32
archbishop rivera y damas,monsignor arturo rivera y damas,0.32
archbishop rivera y damas,monsignor rivera y damas,1.00
archbishop rivera y damas,msgr arturo rivera y damas,0.32
archbishop rivera y damas,msgr rivera y damas,1.00
archbishop romero,gen romero,1.00
archbishop romero,monsignor romero,1.00
archbishop romero,msgr romero,1.00
archbishop romero,msgr romero pay,1.00
arena leader roberto,journalist roberto,1.00
argentina's president carlos menem,argentine president carlos menem,1.00
argentina's president carlos menem,president carlos menem,1.00
argentine foreign minister domingo cavallo,foreign minister domingo cavallo,1.00
argentine president carlos menem,argentina's president carlos menem,1.00
argentine president carlos menem,president carlos menem,1.00
army general jaime ruiz barrera,general jaime ruiz barrera,1.00
army spokesman colonel luis arturo isaacs,forces spokesman colonel luis arturo isaacs,1.00
army spokesman major mauricio chavez caceres,major chavez caceres,0.12
army spokesman major mauricio chavez caceres,major mauricio chavez,0.08
army spokesman major mauricio chavez caceres,military spokesman mauricio chavez caceres,1.00
asonal president antonio suarez,judicial zone president antonio suarez,1.00
attorney general dr mauricio ernesto colorado,attorney general mauricio colorado,1.00
attorney general enrique alvarez del castillo,mexican attorney general enrique alvarez del castillo,1.00
attorney general garcia,peruvian president garcia,1.00
attorney general garcia,president garcia,1.00
attorney general garcia alvarado,attorney general roberto garcia alvarado,1.00
attorney general garcia alvarado,attorney general roberto garcial alvarado,0.83
attorney general garcia alvarado,salvadoran attorney general dr roberto garcia alvarado,1.00
attorney general garcia alvarado,salvadoran attorney general roberto garcia alvarado,1.00
attorney general gomez,gen gomez,1.00
attorney general mauricio colorado,attorney general dr mauricio ernesto colorado,1.00
attorney general mauricio colorado,general prosecutor dr mauricio eduardo colorado,1.00
attorney general mauricio colorado,salvadoran attorney general mauricio eduardo colorado,1.00
attorney general of el salvador,the el salvador president alfonso cristian,1.00
attorney general roberto garcia,attorney general roberto garcia alvarado,0.07
attorney general roberto garcia,attorney general roberto garcial alvarado,0.03
attorney general roberto garcia,salvadoran attorney general dr roberto garcia alvarado,0.07
attorney general roberto garcia,salvadoran attorney general roberto garcia,1.00
attorney general roberto garcia,salvadoran attorney general roberto garcia alvarado,0.07
attorney general roberto garcia alvarado,attorney general garcia alvarado,0.19
attorney general roberto garcia alvarado,attorney general roberto garcia,0.06
attorney general roberto garcia alvarado,attorney general roberto garcial alvarado,0.18
attorney general roberto garcia alvarado,salvadoran attorney general dr roberto garcia alvarado,1.00
attorney general roberto garcia alvarado,salvadoran attorney general roberto garcia,0.06
attorney general roberto garcia alvarado,salvadoran attorney general roberto garcia alvarado,1.00
attorney general roberto garcial alvarado,attorney general garcia alvarado,0.87
attorney general roberto garcial alvarado,attorney general roberto garcia,0.13
attorney general roberto garcial alvarado,attorney general roberto garcia alvarado,1.00
attorney general roberto garcial alvarado,salvadoran attorney general dr roberto garcia alvarado,1.00
attorney general roberto garcial alvarado,salvadoran attorney general roberto garcia,0.13
attorney general roberto garcial alvarado,salvadoran attorney general roberto garcia alvarado,1.00
auxiliary bishop gregorio rosa chavez,auxiliary bishop rosa chavez,0.11
auxiliary bishop gregorio rosa chavez,bishop gregorio rosa chavez,1.00
auxiliary bishop gregorio rosa chavez,monsignor gregorio rosa chavez,1.00
auxiliary bishop gregorio rosa chavez,msgr gregorio rosa chavez,1.00
auxiliary bishop gregorio rosa chavez,msgr rosa chavez,0.11
auxiliary bishop rosa chavez,auxiliary bishop gregorio rosa chavez,0.17
auxiliary bishop rosa chavez,bishop gregorio rosa chavez,0.17
auxiliary bishop rosa chavez,monsignor gregorio rosa chavez,0.17
auxiliary bishop rosa chavez,msgr gregorio rosa chavez,0.17
auxiliary bishop rosa chavez,msgr rosa chavez,1.00
bishop gregorio rosa chavez,auxiliary bishop gregorio rosa chavez,1.00
bishop gregorio rosa chavez,auxiliary bishop rosa chavez,0.11
bishop gregorio rosa chavez,monsignor gregorio rosa chavez,1.00
bishop gregorio rosa chavez,msgr gregorio rosa chavez,1.00
bishop gregorio rosa chavez,msgr rosa chavez,0.11
bishop jaramillo,dr jaramillo,1.00
bishop jaramillo,dr. jaramillo,1.00
bishop pablo smith,msgr pablo smith,1.00
bogota city mayor andres pastrana,bogota mayor andres pastrana,1.00
bogota city mayor andres pastrana,bogota mayor andres pastrana arango,0.18
bogota city mayor andres pastrana,dr. andres pastrana,1.00
bogota city mayor andres pastrana,mayor andres pastrana,1.00
bogota mayor andres pastrana,bogota city mayor andres pastrana,1.00
bogota mayor andres pastrana,bogota mayor andres pastrana arango,0.18
bogota mayor andres pastrana,dr. andres pastrana,1.00
bogota mayor andres pastrana,mayor andres pastrana,1.00
bogota mayor andres pastrana arango,bogota city mayor andres pastrana,1.00
bogota mayor andres pastrana arango,bogota mayor andres pastrana,1.00
bogota mayor andres pastrana arango,dr. andres pastrana,1.00
bogota mayor andres pastrana arango,mayor andres pastrana,1.00
bolivian president jaime paz zamora,president jaime paz zamora,1.00
bolivian president jaime paz zamora,president paz zamora,0.17
bolivian president jaime paz zamora,the first social crisis president paz zamora,0.17
brazilian businessman abilio diniz,businessman abilio diniz,1.00
businessman abilio diniz,brazilian businessman abilio diniz,1.00
cabinet chief carlos caceres,interior minister carlos caceres,1.00
candidate senator luis carlos galan,colombian liberal party candidate luis carlos galan,1.00
candidate senator luis carlos galan,colombian political leader luis carlos galan,1.00
candidate senator luis carlos galan,liberal leader luis carlos galan,1.00
candidate senator luis carlos galan,liberal party leader luis carlos galan,1.00
candidate senator luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
candidate senator luis carlos galan,liberal presidential candidate luis carlos galan,1.00
candidate senator luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
candidate senator luis carlos galan,senator luis carlos galan,1.00
candidate senator luis carlos galan,senator luis carlos galan sarmiento,0.25
captain adan solorzano martinez,nicaraguan citizen orlando adan solorzano martinez,1.00
captain alfonso chavez garcia,captain alonso chavez garcia,0.70
captain alfonso chavez garcia,captain jose alfonso chavez garcia,1.00
captain alonso chavez garcia,captain alfonso chavez garcia,1.00
captain alonso chavez garcia,captain jose alfonso chavez,0.58
captain alonso chavez garcia,captain jose alfonso chavez garcia,1.00
captain gerardo barrios,general gerardo barrios,1.00
captain gerardo barrios,the captain gerardo barrios,1.00
captain jose alfonso chavez,captain alonso chavez garcia,0.49
captain jose alfonso chavez,captain jose alfonso chavez garcia,1.00
captain jose alfonso chavez garcia,captain alfonso chavez garcia,1.00
captain jose alfonso chavez garcia,captain alonso chavez garcia,0.70
captain jose alfonso chavez garcia,captain jose alfonso chavez,0.83
captain lionel sisniega cordero,former presidential candidate lionel sisniega,1.00
cardinal alfonso lopez trujillo,cardinal lopez trujillo,1.00
cardinal lopez trujillo,cardinal alfonso lopez trujillo,1.00
cardinal mario revollo,cardinal mario revollo bravo,1.00
cardinal mario revollo,cardinal mario revollo correa,1.00
cardinal mario revollo,monsignor mario revollo bravo,1.00
cardinal mario revollo bravo,cardinal mario revollo,0.17
cardinal mario revollo bravo,monsignor mario revollo bravo,1.00
cardinal mario revollo correa,cardinal mario revollo,1.00
central america university rector ignacio ellacuria,central american university rector ignacio ellacuria,1.00
central america university rector ignacio ellacuria,dr ignacio ellacuria,1.00
central america university rector ignacio ellacuria,father ignacio ellacuria,1.00
central america university rector ignacio ellacuria,father jose ignacio ellacuria,0.31
central america university rector ignacio ellacuria,priest ignacio ellacuria,1.00
central america university rector ignacio ellacuria,uca rector ignacio ellacuria,1.00
central american university rector ignacio ellacuria,central america university rector ignacio ellacuria,1.00
central american university rector ignacio ellacuria,dr ignacio ellacuria,1.00
central american university rector ignacio ellacuria,father ignacio ellacuria,1.00
central american university rector ignacio ellacuria,father jose ignacio ellacuria,0.31
central american university rector ignacio ellacuria,priest ignacio ellacuria,1.00
central american university rector ignacio ellacuria,uca rector ignacio ellacuria,1.00
chile leader jaime inzunza,communist leader jaime inzunza,1.00
chilean ambassador to brazil raul schmidt,soldier raul,1.00
chilean foreign minister errazuriz,mr errazuriz,1.00
chilean president augusto pinochet,general augusto pinochet,1.00
chilean president augusto pinochet,mr augusto pinochet ugarte,0.31
chilean president augusto pinochet,president augusto pinochet,1.00
chilean president patricio aylwin,lawyer patricio aylwin,1.00
chilean president patricio aylwin,opposition leader patricio aylwin,1.00
chilean president patricio aylwin,president patricio aylwin,1.00
christian democrat ideologue danilo barillas,pdc leader danilo barillas,1.00
christian democrat jose napoleon duarte,christian democratic president jose napoleon duarte,1.00
christian democrat jose napoleon duarte,former president jose napoleon duarte,1.00
christian democrat jose napoleon duarte,president jose napoleon duarte,1.00
christian democrat jose napoleon duarte,salvadoran president jose napoleon duarte,1.00
christian democratic president jose napoleon duarte,christian democrat jose napoleon duarte,1.00
christian democratic president jose napoleon duarte,former president jose napoleon duarte,1.00
christian democratic president jose napoleon duarte,president jose napoleon duarte,1.00
christian democratic president jose napoleon duarte,salvadoran president jose napoleon duarte,1.00
christian democratic president vinicio cerezo,guatemala president vinicio cerezo,1.00
christian democratic president vinicio cerezo,guatemalan president marco vinicio cerezo arevalo,0.21
christian democratic president vinicio cerezo,guatemalan president vinicio cerezo,1.00
christian democratic president vinicio cerezo,guatemalan president vinicio cerezo arevalo,0.21
christian democratic president vinicio cerezo,president vinicio cerezo,1.00
christian democratic president vinicio cerezo,president vinicio cerezo arevalo,0.21
citizen justiniano sagastume rodriguez,mr justiniano sagastume rodriguez,1.00
col benavides,col. benavides,1.00
col benavides,colonel benavides,1.00
col carreno,colonel carreno,1.00
col ciro lopez roque,salvadoran colonel ciro lopez,1.00
col elena fuentes,1st infantry brigade commander francisco elena fuentes,0.28
col elena fuentes,colonel elena fuente,0.06
col elena fuentes,colonel elena fuentes,1.00
col elena fuentes,colonel francisco elena fuentes,0.28
col emilio ponce,col rene emilio ponce,1.00
col emilio ponce,col. rene emilio ponce,1.00
col emilio ponce,colonel rene emilio ponce,1.00
col emilio ponce,officer colonel rene emilio ponce,1.00
col emilio ponce,salvadoran armed forces colonel rene emilio ponce,1.00
col franklin quintero,antioquia police chief colonel waldemar franklin quintero,1.00
col franklin quintero,antioquia police department chief waldemar franklin quintero,1.00
col franklin quintero,colonel franklyn quintero,0.36
col franklin quintero,colonel valdemar franklin quintero,1.00
col franklin quintero,colonel waldemar franklin quintero,1.00
col guillermo alfredo benavides,col guillermo benavides,0.83
col guillermo alfredo benavides,colonel guillermo alfredo benavides moreno,1.00
col guillermo alfredo benavides,colonel guillermo benavides,0.83
col guillermo alfredo benavides,salvadoran colonel guillermo benavides,0.83
col guillermo benavides,col guillermo alfredo benavides,0.15
col guillermo benavides,colonel guillermo alfredo benavides moreno,0.15
col guillermo benavides,colonel guillermo benavides,1.00
col guillermo benavides,salvadoran colonel guillermo benavides,1.00
col heriberto hernandez,colonel hector heriberto hernandez,0.28
col heriberto hernandez,colonel heriberto hernandez,1.00
col heriberto hernandez,treasury police director colonel heriberto hernandez,1.00
col mauricio vargas,3d brigade commander colonel mauricio vargas,1.00
col mauricio vargas,3d infantry brigade commander colonel mauricio ernesto vargas,0.09
col mauricio vargas,colonel mauricio ernesto vargas,0.09
col mauricio vargas,colonel mauricio vargas,1.00
col ochoa,col. ochoa,1.00
col orlando cepeda,colonel orlando zepeda,0.18
col orlando cepeda,deputy defense minister colonel juan orlando zepeda,0.18
col orlando cepeda,deputy defense minister colonel orlando zepeda,0.18
col ponce,col. ponce,1.00
col ponce,colonel ponce,1.00
col quintero,commander quintero,1.00
col quintero,police chief quintero,1.00
col rene emilio ponce,col emilio ponce,0.22
col rene emilio ponce,col. rene emilio ponce,1.00
col rene emilio ponce,colonel rene emilio,0.13
col rene emilio ponce,colonel rene emilio ponce,1.00
col rene emilio ponce,colonel rene ponce,0.21
col rene emilio ponce,officer colonel rene emilio ponce,1.00
col rene emilio ponce,salvadoran armed forces colonel rene emilio ponce,1.00
col ricardo alfonso casanova,colonel ricardo alfonso casanova sandoval,1.00
col ricardo alfonso casanova,colonel ricardo casanova,0.73
col vargas,colonel vargas,1.00
col vargas,gen vargas,1.00
col vargas,minister vargas,1.00
col. benavides,col benavides,1.00
col. benavides,colonel benavides,1.00
col. ochoa,col ochoa,1.00
col. ochoa perez,col. sigifredo ochoa perez,0.15
col. ochoa perez,colonel ochoa perez,1.00
col. ochoa perez,colonel sigifredo ochoa perez,0.15
col. ochoa perez,former army colonel sigifredo ochoa perez,0.15
col. ochoa perez,nationalist republican alliance (arena) leader sigifredo ochoa perez,0.15
col. ochoa perez,salvadoran colonel sigifredo ochoa perez,0.15
col. ponce,col ponce,1.00
col. ponce,colonel ponce,1.00
col. rene emilio ponce,col emilio ponce,0.22
col. rene emilio ponce,col rene emilio ponce,1.00
col. rene emilio ponce,colonel rene emilio,0.13
col. rene emilio ponce,colonel rene emilio ponce,1.00
col. rene emilio ponce,colonel rene ponce,0.21
col. rene emilio ponce,officer colonel rene emilio ponce,1.00
col. rene emilio ponce,salvadoran armed forces colonel rene emilio ponce,1.00
col. sigifredo ochoa perez,col. ochoa perez,0.10
col. sigifredo ochoa perez,colonel ochoa perez,0.10
col. sigifredo ochoa perez,colonel sigifredo ochoa perez,1.00
col. sigifredo ochoa perez,former army colonel sigifredo ochoa perez,1.00
col. sigifredo ochoa perez,nationalist republican alliance (arena) leader sigifredo ochoa perez,1.00
col. sigifredo ochoa perez,salvadoran colonel sigifredo ochoa perez,1.00
col.ochoa perez,mr. president perez,1.00
col.ochoa perez,president perez,1.00
colombia's president virgilio barco,colombian leader virgilio barco,1.00
colombia's president virgilio barco,colombian president virgilio barco,1.00
colombia's president virgilio barco,colombian president virgilio barco vargas,0.33
colombia's president virgilio barco,dr. virgilio barco,1.00
colombia's president virgilio barco,liberal president virgilio barco,1.00
colombia's president virgilio barco,president virgilio barco,1.00
colombia's president virgilio barco,president virgilio barco vargas,0.33
"colombian citizen jorge humberto chalaria, known as ""el negro,""",luis fernando galeano berrio (alias el negro),1.00
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",colombian drug trafficker rodriguez gacha,0.08
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",drug baron rodriguez gacha,0.08
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",drug kingping gonzalo rodriguez gacha (alias the mexican),0.45
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.11
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","gonzalo rodriguez gacha alias ""the mexican,""",0.45
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","gonzalo rodriguez gacha, a.k.a the mexican",0.45
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","gonzalo rodriguez gacha, alias ""el mejicano,""",0.45
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","gonzalo rodriguez gacha, alias the mexican",0.45
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","gonzalo rodriguez gacha, also known as ""el mexicano,""",1.00
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","rodriguez gacha, alias ""the mexican,""",0.08
"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""","rodriguez gacha, alias the mexican",0.08
colombian drug trafficker rodriguez gacha,"colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.19
colombian drug trafficker rodriguez gacha,drug baron rodriguez gacha,1.00
colombian drug trafficker rodriguez gacha,drug kingping gonzalo rodriguez gacha (alias the mexican),0.19
colombian drug trafficker rodriguez gacha,"drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.19
colombian drug trafficker rodriguez gacha,"gonzalo rodriguez gacha alias ""the mexican,""",0.19
colombian drug trafficker rodriguez gacha,"gonzalo rodriguez gacha, a.k.a the mexican",0.19
colombian drug trafficker rodriguez gacha,"gonzalo rodriguez gacha, alias ""el mejicano,""",0.19
colombian drug trafficker rodriguez gacha,"gonzalo rodriguez gacha, alias the mexican",0.19
colombian drug trafficker rodriguez gacha,"gonzalo rodriguez gacha, also known as ""el mexicano,""",0.19
colombian drug trafficker rodriguez gacha,"rodriguez gacha, alias ""the mexican,""",1.00
colombian drug trafficker rodriguez gacha,"rodriguez gacha, alias the mexican",1.00
colombian foreign minister julio londono paredes,foreign minister julio londono,1.00
colombian government minister carlos lemos,colombian government minister carlos lemos simmonds,0.17
colombian government minister carlos lemos,communications minister carlos lemus,0.01
colombian government minister carlos lemos,dr. carlos lemos simmonds,0.17
colombian government minister carlos lemos,government minister carlos lemos,1.00
colombian government minister carlos lemos,government minister carlos lemos simmonds,0.17
colombian government minister carlos lemos,interior minister carlos lemos,1.00
colombian government minister carlos lemos,minister carlos lemos,1.00
colombian government minister carlos lemos,president carlos lemos,1.00
colombian government minister carlos lemos simmonds,colombian government minister carlos lemos,0.14
colombian government minister carlos lemos simmonds,communications minister carlos lemus,0.01
colombian government minister carlos lemos simmonds,dr. carlos lemos simmonds,1.00
colombian government minister carlos lemos simmonds,government minister carlos lemos,0.14
colombian government minister carlos lemos simmonds,government minister carlos lemos simmonds,1.00
colombian government minister carlos lemos simmonds,interior minister carlos lemos,0.14
colombian government minister carlos lemos simmonds,minister carlos lemos,0.14
colombian government minister carlos lemos simmonds,minister lemos simmonds,0.33
colombian government minister carlos lemos simmonds,president carlos lemos,0.14
colombian judge bernardo jaramillo uribe,judge jaramillo uribe,1.00
colombian judge bernardo jaramillo uribe,leader bernardo jaramillo,1.00
colombian judge bernardo jaramillo uribe,president bernardo jaramillo,1.00
colombian justice carlos valencia,judge carlos valencia,1.00
colombian justice carlos valencia,justice carlos valencia,1.00
colombian justice carlos valencia,justice carlos valencia garcia,0.17
colombian justice carlos valencia,magistrate carlos valencia,1.00
colombian justice carlos valencia,magistrate carlos valencia garcia,0.17
colombian justice carlos valencia,superior criminal court judge carlos valencia garcia,0.17
colombian justice minister monica de greiff,former colombian justice minister monica de greiff,1.00
colombian justice minister monica de greiff,former justice minister monica de greiff,1.00
colombian justice minister monica de greiff,justice minister monica de greiff,1.00
colombian leader virgilio barco,colombia's president virgilio barco,1.00
colombian leader virgilio barco,colombian president virgilio barco,1.00
colombian leader virgilio barco,colombian president virgilio barco vargas,0.33
colombian leader virgilio barco,dr. virgilio barco,1.00
colombian leader virgilio barco,liberal president virgilio barco,1.00
colombian leader virgilio barco,president virgilio barco,1.00
colombian leader virgilio barco,president virgilio barco vargas,0.33
colombian liberal party candidate luis carlos galan,candidate senator luis carlos galan,1.00
colombian liberal party candidate luis carlos galan,colombian political leader luis carlos galan,1.00
colombian liberal party candidate luis carlos galan,liberal leader luis carlos galan,1.00
colombian liberal party candidate luis carlos galan,liberal party leader luis carlos galan,1.00
colombian liberal party candidate luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
colombian liberal party candidate luis carlos galan,liberal presidential candidate luis carlos galan,1.00
colombian liberal party candidate luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
colombian liberal party candidate luis carlos galan,senator luis carlos galan,1.00
colombian liberal party candidate luis carlos galan,senator luis carlos galan sarmiento,0.25
colombian political leader luis carlos galan,candidate senator luis carlos galan,1.00
colombian political leader luis carlos galan,colombian liberal party candidate luis carlos galan,1.00
colombian political leader luis carlos galan,liberal leader luis carlos galan,1.00
colombian political leader luis carlos galan,liberal party leader luis carlos galan,1.00
colombian political leader luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
colombian political leader luis carlos galan,liberal presidential candidate luis carlos galan,1.00
colombian political leader luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
colombian political leader luis carlos galan,senator luis carlos galan,1.00
colombian political leader luis carlos galan,senator luis carlos galan sarmiento,0.25
colombian president virgilio barco,colombia's president virgilio barco,1.00
colombian president virgilio barco,colombian leader virgilio barco,1.00
colombian president virgilio barco,colombian president virgilio barco vargas,0.33
colombian president virgilio barco,dr. virgilio barco,1.00
colombian president virgilio barco,liberal president virgilio barco,1.00
colombian president virgilio barco,president virgilio barco,1.00
colombian president virgilio barco,president virgilio barco vargas,0.33
colombian president virgilio barco vargas,colombia's president virgilio barco,0.32
colombian president virgilio barco vargas,colombian leader virgilio barco,0.32
colombian president virgilio barco vargas,colombian president virgilio barco,0.32
colombian president virgilio barco vargas,dr. virgilio barco,0.32
colombian president virgilio barco vargas,liberal president virgilio barco,0.32
colombian president virgilio barco vargas,president barco vargas,0.16
colombian president virgilio barco vargas,president virgilio barco,0.32
colombian president virgilio barco vargas,president virgilio barco vargas,1.00
colonal orlando montano,colonel orlando inocente montano,0.26
colonal orlando montano,colonel orlando montano,1.00
colonel alejandro sanchez,police deputy director colonel alejandro sanchez,1.00
colonel benavides,col benavides,1.00
colonel benavides,col. benavides,1.00
colonel carreno,col carreno,1.00
colonel eduardo arevalo,the defense ministry's information director colonel eduardo arevalo,1.00
colonel elena fuente,1st infantry brigade commander francisco elena fuentes,1.00
colonel elena fuente,col elena fuentes,1.00
colonel elena fuente,colonel elena fuentes,1.00
colonel elena fuente,colonel francisco elena fuentes,1.00
colonel elena fuentes,1st infantry brigade commander francisco elena fuentes,0.28
colonel elena fuentes,col elena fuentes,1.00
colonel elena fuentes,colonel elena fuente,0.06
colonel elena fuentes,colonel francisco elena fuentes,0.28
colonel espinoza,lieutenant espinoza,1.00
colonel francisco elena fuentes,1st infantry brigade commander francisco elena fuentes,1.00
colonel francisco elena fuentes,col elena fuentes,0.27
colonel francisco elena fuentes,colonel elena fuente,0.06
colonel francisco elena fuentes,colonel elena fuentes,0.27
colonel franklyn quintero,antioquia police chief colonel waldemar franklin quintero,1.00
colonel franklyn quintero,antioquia police department chief waldemar franklin quintero,1.00
colonel franklyn quintero,col franklin quintero,1.00
colonel franklyn quintero,colonel valdemar franklin quintero,1.00
colonel franklyn quintero,colonel waldemar franklin quintero,1.00
colonel guillermo alfredo benavides moreno,col guillermo alfredo benavides,0.73
colonel guillermo alfredo benavides moreno,col guillermo benavides,0.60
colonel guillermo alfredo benavides moreno,colonel guillermo benavides,0.60
colonel guillermo alfredo benavides moreno,salvadoran colonel guillermo benavides,0.60
colonel guillermo benavides,col guillermo alfredo benavides,0.15
colonel guillermo benavides,col guillermo benavides,1.00
colonel guillermo benavides,colonel guillermo alfredo benavides moreno,0.15
colonel guillermo benavides,salvadoran colonel guillermo benavides,1.00
colonel hector heriberto hernandez,col heriberto hernandez,1.00
colonel hector heriberto hernandez,colonel heriberto hernandez,1.00
colonel hector heriberto hernandez,futh president hector hernandez,0.32
colonel hector heriberto hernandez,treasury police director colonel heriberto hernandez,1.00
colonel heriberto hernandez,col heriberto hernandez,1.00
colonel heriberto hernandez,colonel hector heriberto hernandez,0.28
colonel heriberto hernandez,treasury police director colonel heriberto hernandez,1.00
colonel luis arce gomez,former colonel luis arce gomez,1.00
colonel manuel enrique suarez,colonel manuel enrique suarez benavides,0.21
colonel manuel enrique suarez,honduran army spokesman colonel manuel enrique suarez,1.00
colonel manuel enrique suarez benavides,colonel manuel enrique suarez,1.00
colonel manuel enrique suarez benavides,honduran army spokesman colonel manuel enrique suarez,1.00
colonel mauricio ernesto vargas,3d brigade commander colonel mauricio vargas,0.08
colonel mauricio ernesto vargas,3d infantry brigade commander colonel mauricio ernesto vargas,1.00
colonel mauricio ernesto vargas,col mauricio vargas,0.08
colonel mauricio ernesto vargas,colonel mauricio vargas,0.08
colonel mauricio guzman aguilar,national police director colonel carlos mauricio guzman aguilar,1.00
